INFO 2024-03-07 17:46:48,740 autoreload Watching for file changes with StatReloader
DEBUG 2024-03-07 17:46:48,740 autoreload Waiting for apps ready_event.
DEBUG 2024-03-07 17:46:48,855 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-03-07 17:46:48,874 autoreload Watching dir C:\23\daylyplanner\backend\accounts\templates with glob **/*.
DEBUG 2024-03-07 17:46:48,874 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\23\daylyplanner\backend\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\23\daylyplanner\backend\accounts\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,875 autoreload Watching dir C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-03-07 17:46:48,948 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2024-03-07 17:46:48,951 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-03-07 17:46:49,065 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\tree.py first seen with mtime 1704709164.5972548
DEBUG 2024-03-07 17:46:49,065 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1704709164.5542564
DEBUG 2024-03-07 17:46:49,065 autoreload File C:\Users\Асибо\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1704709164.349254
